2016-09-03 03:59:01,917,Setting,Step,Elapsed Time,Metric1,Metric2,Metric3,Param1,Param2,Param3,Param4
2016-09-03 03:59:08,855,filter:2-conv1:1-conv2:1-fc:1-Momentum,1_epoch,0.136,18.720,NA,NA,2,1,1,1
2016-09-03 03:59:08,865,filter:2-conv1:1-conv2:1-fc:4-Momentum,1_epoch,0.133,10.280,NA,NA,2,1,1,4
2016-09-03 03:59:09,040,filter:2-conv1:1-conv2:1-fc:2-Momentum,1_epoch,0.213,10.280,NA,NA,2,1,1,2
2016-09-03 03:59:09,050,filter:2-conv1:1-conv2:1-fc:8-Momentum,1_epoch,0.227,65.940,NA,NA,2,1,1,8
2016-09-03 03:59:16,298,filter:2-conv1:1-conv2:1-fc:128-Momentum,1_epoch,0.147,10.280,NA,NA,2,1,1,128
2016-09-03 03:59:16,397,filter:2-conv1:1-conv2:1-fc:64-Momentum,1_epoch,0.175,86.430,NA,NA,2,1,1,64
2016-09-03 03:59:16,515,filter:2-conv1:1-conv2:1-fc:16-Momentum,1_epoch,0.236,79.320,NA,NA,2,1,1,16
2016-09-03 03:59:16,603,filter:2-conv1:1-conv2:1-fc:32-Momentum,1_epoch,0.294,85.470,NA,NA,2,1,1,32
2016-09-03 03:59:23,961,filter:2-conv1:1-conv2:1-fc:256-Momentum,1_epoch,0.138,86.420,NA,NA,2,1,1,256
2016-09-03 03:59:23,963,filter:2-conv1:1-conv2:1-fc:512-Momentum,1_epoch,0.145,10.280,NA,NA,2,1,1,512
2016-09-03 03:59:23,991,filter:2-conv1:1-conv2:2-fc:1-Momentum,1_epoch,0.126,10.270,NA,NA,2,1,2,1
2016-09-03 03:59:24,343,filter:2-conv1:1-conv2:2-fc:2-Momentum,1_epoch,0.403,10.280,NA,NA,2,1,2,2
2016-09-03 03:59:31,213,filter:2-conv1:1-conv2:2-fc:8-Momentum,1_epoch,0.138,10.280,NA,NA,2,1,2,8
2016-09-03 03:59:31,492,filter:2-conv1:1-conv2:2-fc:4-Momentum,1_epoch,0.218,10.280,NA,NA,2,1,2,4
2016-09-03 03:59:31,616,filter:2-conv1:1-conv2:2-fc:32-Momentum,1_epoch,0.191,84.560,NA,NA,2,1,2,32
2016-09-03 03:59:31,720,filter:2-conv1:1-conv2:2-fc:16-Momentum,1_epoch,0.246,10.280,NA,NA,2,1,2,16
2016-09-03 03:59:38,777,filter:2-conv1:1-conv2:2-fc:64-Momentum,1_epoch,0.137,86.610,NA,NA,2,1,2,64
2016-09-03 03:59:38,984,filter:2-conv1:1-conv2:2-fc:256-Momentum,1_epoch,0.243,90.610,NA,NA,2,1,2,256
2016-09-03 03:59:39,211,filter:2-conv1:1-conv2:2-fc:128-Momentum,1_epoch,0.26,87.470,NA,NA,2,1,2,128
2016-09-03 03:59:39,467,filter:2-conv1:1-conv2:2-fc:512-Momentum,1_epoch,0.46,10.280,NA,NA,2,1,2,512
2016-09-03 03:59:46,357,filter:2-conv1:1-conv2:4-fc:1-Momentum,1_epoch,0.138,10.280,NA,NA,2,1,4,1
2016-09-03 03:59:46,668,filter:2-conv1:1-conv2:4-fc:2-Momentum,1_epoch,0.132,10.280,NA,NA,2,1,4,2
2016-09-03 03:59:46,686,filter:2-conv1:1-conv2:4-fc:4-Momentum,1_epoch,0.129,30.130,NA,NA,2,1,4,4
2016-09-03 03:59:47,126,filter:2-conv1:1-conv2:4-fc:8-Momentum,1_epoch,0.508,72.100,NA,NA,2,1,4,8
2016-09-03 03:59:54,286,filter:2-conv1:1-conv2:4-fc:64-Momentum,1_epoch,0.137,87.870,NA,NA,2,1,4,64
2016-09-03 03:59:54,456,filter:2-conv1:1-conv2:4-fc:128-Momentum,1_epoch,0.223,89.260,NA,NA,2,1,4,128
2016-09-03 03:59:54,508,filter:2-conv1:1-conv2:4-fc:16-Momentum,1_epoch,0.227,83.600,NA,NA,2,1,4,16
2016-09-03 03:59:54,586,filter:2-conv1:1-conv2:4-fc:32-Momentum,1_epoch,0.279,85.090,NA,NA,2,1,4,32
2016-09-03 04:00:01,776,filter:2-conv1:1-conv2:4-fc:512-Momentum,1_epoch,0.149,90.140,NA,NA,2,1,4,512
2016-09-03 04:00:01,788,filter:2-conv1:1-conv2:8-fc:1-Momentum,1_epoch,0.144,25.550,NA,NA,2,1,8,1
2016-09-03 04:00:01,916,filter:2-conv1:1-conv2:8-fc:2-Momentum,1_epoch,0.208,18.240,NA,NA,2,1,8,2
2016-09-03 04:00:02,217,filter:2-conv1:1-conv2:4-fc:256-Momentum,1_epoch,0.326,92.400,NA,NA,2,1,4,256
