layer,L1,L2,L3,slope1,slope2,1280 acc,102400 acc,200000 test acc,neurons,avg. iteration time
2 conv + 1 fully,2,2,2,0,0,0.14062,0.08594,0.136719,6,0.004445128
2 conv + 1 fully,2,2,4,0,1,0.07031,0.13281,0.0546875,8,0.002423718
2 conv + 1 fully,2,2,8,0,2,0.09375,0.07812,0.0859375,12,0.002505064
2 conv + 1 fully,2,2,16,0,3,0.10938,0.11719,0.109375,20,0.002588846
2 conv + 1 fully,2,2,32,0,4,0.20312,0.17188,0.0898438,36,0.002656795
2 conv + 1 fully,2,2,64,0,5,0.11719,0.17188,0.109375,68,0.004470128
2 conv + 1 fully,2,2,128,0,6,0.13281,0.32812,0.289062,132,0.002598718
2 conv + 1 fully,2,2,256,0,7,0.11719,0.21875,0.207031,260,0.004427949
2 conv + 1 fully,2,2,512,0,8,0.10938,0.17969,0.0742188,516,0.002646859
2 conv + 1 fully,2,2,1024,0,9,0.07812,0.875,0.847656,1028,0.004857051
2 conv + 1 fully,2,4,2,1,-1,0.04688,0.10156,0.121094,8,0.004562372
2 conv + 1 fully,2,4,4,1,0,0.15625,0.16406,0.0898438,10,0.00256891
2 conv + 1 fully,2,4,8,1,1,0.08594,0.17969,0.0546875,14,0.00259109
2 conv + 1 fully,2,4,16,1,2,0.08594,0.17188,0.0859375,22,0.002657628
2 conv + 1 fully,2,4,32,1,3,0.08594,0.10938,0.136719,38,0.0026675
2 conv + 1 fully,2,4,64,1,4,0.10938,0.52344,0.355469,70,0.004659551
2 conv + 1 fully,2,4,128,1,5,0.03906,0.60156,0.503906,134,0.002845064
2 conv + 1 fully,2,4,256,1,6,0.10938,0.80469,0.804688,262,0.004565833
2 conv + 1 fully,2,4,512,1,7,0.0625,0.84375,0.902344,518,0.002885
2 conv + 1 fully,2,4,1024,1,8,0.08594,0.78906,0.863281,1030,0.004907436
2 conv + 1 fully,2,8,2,2,-2,0.09375,0.10156,0.109375,12,0.004541154
2 conv + 1 fully,2,8,4,2,-1,0.10156,0.11719,0.121094,14,0.002720321
2 conv + 1 fully,2,8,8,2,0,0.08594,0.09375,0.09375,18,0.002726538
2 conv + 1 fully,2,8,16,2,1,0.07812,0.0625,0.0742188,26,0.002773269
2 conv + 1 fully,2,8,32,2,2,0.07812,0.07031,0.136719,42,0.002829231
2 conv + 1 fully,2,8,64,2,3,0.10938,0.125,0.0742188,74,0.004879551
2 conv + 1 fully,2,8,128,2,4,0.13281,0.45312,0.207031,138,0.002809103
2 conv + 1 fully,2,8,256,2,5,0.03125,0.85156,0.917969,266,0.004717628
2 conv + 1 fully,2,8,512,2,6,0.11719,0.8125,0.902344,522,0.002960513
2 conv + 1 fully,2,8,1024,2,7,0.13281,0.92188,0.964844,1034,0.005306218
2 conv + 1 fully,2,16,2,3,-3,0.07812,0.0625,0.121094,20,0.004812179
2 conv + 1 fully,2,16,4,3,-2,0.10938,0.08594,0.132812,22,0.003003846
2 conv + 1 fully,2,16,8,3,-1,0.0625,0.08594,0.09375,26,0.002995385
2 conv + 1 fully,2,16,16,3,0,0.03906,0.14062,0.136719,34,0.003085513
2 conv + 1 fully,2,16,32,3,1,0.125,0.09375,0.132812,50,0.003003846
2 conv + 1 fully,2,16,64,3,2,0.07812,0.21094,0.132812,82,0.004955192
2 conv + 1 fully,2,16,128,3,3,0.02344,0.35156,0.160156,146,0.003206795
2 conv + 1 fully,2,16,256,3,4,0.10938,0.89844,0.921875,274,0.005141026
2 conv + 1 fully,2,16,512,3,5,0.10938,0.90625,0.941406,530,0.003489423
2 conv + 1 fully,2,16,1024,3,6,0.15625,0.92188,0.949219,1042,0.005753654
2 conv + 1 fully,2,32,2,4,-4,0.04688,0.10938,0.0742188,36,0.005659679
2 conv + 1 fully,2,32,4,4,-3,0.10938,0.14844,0.0859375,38,0.003644038
2 conv + 1 fully,2,32,8,4,-2,0.07031,0.10938,0.121094,42,0.003670897
2 conv + 1 fully,2,32,16,4,-1,0.21875,0.10938,0.136719,50,0.003677756
2 conv + 1 fully,2,32,32,4,0,0.14062,0.09375,0.0585938,66,0.003713462
2 conv + 1 fully,2,32,64,4,1,0.10156,0.24219,0.25,98,0.005609615
2 conv + 1 fully,2,32,128,4,2,0.0625,0.625,0.316406,162,0.003833013
2 conv + 1 fully,2,32,256,4,3,0.07812,0.85156,0.273438,290,0.005843269
2 conv + 1 fully,2,32,512,4,4,0.13281,0.9375,0.941406,546,0.004155641
2 conv + 1 fully,2,32,1024,4,5,0.16406,0.92188,0.953125,1058,0.006412692
2 conv + 1 fully,2,64,2,5,-5,0.04688,0.10938,0.101562,68,0.006552115
2 conv + 1 fully,2,64,4,5,-4,0.07812,0.10156,0.101562,70,0.004715128
2 conv + 1 fully,2,64,8,5,-3,0.20312,0.0625,0.136719,74,0.004735833
2 conv + 1 fully,2,64,16,5,-2,0.13281,0.05469,0.121094,82,0.004757692
2 conv + 1 fully,2,64,32,5,-1,0.10156,0.09375,0.121094,98,0.00481
2 conv + 1 fully,2,64,64,5,0,0.03906,0.07812,0.191406,130,0.006666603
2 conv + 1 fully,2,64,128,5,1,0.13281,0.50781,0.261719,194,0.004962436
2 conv + 1 fully,2,64,256,5,2,0.125,0.85938,0.574219,322,0.006924295
2 conv + 1 fully,2,64,512,5,3,0.14062,0.89062,0.894531,578,0.005455449
2 conv + 1 fully,2,64,1024,5,4,0.13281,0.94531,0.976562,1090,0.007880962
2 conv + 1 fully,2,128,2,6,-6,0.10938,0.09375,0.136719,132,0.007872692
2 conv + 1 fully,2,128,4,6,-5,0.125,0.07031,0.0742188,134,0.005974231
2 conv + 1 fully,2,128,8,6,-4,0.08594,0.11719,0.132812,138,0.005966987
2 conv + 1 fully,2,128,16,6,-3,0.14844,0.11719,0.101562,146,0.006016795
2 conv + 1 fully,2,128,32,6,-2,0.15625,0.11719,0.132812,162,0.006141474
2 conv + 1 fully,2,128,64,6,-1,0.1875,0.10156,0.167969,194,0.008127564
2 conv + 1 fully,2,128,128,6,0,0.17969,0.04688,0.101562,258,0.006463526
2 conv + 1 fully,2,128,256,6,1,0.19531,0.51562,0.285156,386,0.008813013
