2016-07-15 12:48,194, Tag Name,Iteration,Minibatch Loss,Traning Accuracy,Elapsed Time,Testing Accuracy
2016-07-14 18:03,52, cnn_net_2_2_2_2,1280,187.410873,0.10156,0.00657,
2016-07-14 18:03,74, cnn_net_2_2_2_2,2560,168.571259,0.10938,0.00299,
2016-07-14 18:03,97, cnn_net_2_2_2_2,3840,106.965439,0.13281,0.00285,
2016-07-14 18:03,118, cnn_net_2_2_2_2,5120,87.687363,0.08594,0.00277,
2016-07-14 18:03,140, cnn_net_2_2_2_2,6400,77.249428,0.10156,0.00284,
2016-07-14 18:03,161, cnn_net_2_2_2_2,7680,64.394241,0.07031,0.00287,
2016-07-14 18:03,185, cnn_net_2_2_2_2,8960,44.543674,0.125,0.00514,
2016-07-14 18:03,205, cnn_net_2_2_2_2,10240,34.156094,0.10938,0.00268,
2016-07-14 18:03,227, cnn_net_2_2_2_2,11520,40.300102,0.07031,0.0029,
2016-07-14 18:03,247, cnn_net_2_2_2_2,12800,25.261406,0.09375,0.00268,
2016-07-14 18:03,267, cnn_net_2_2_2_2,14080,17.069532,0.14844,0.00253,
2016-07-14 18:03,286, cnn_net_2_2_2_2,15360,13.585154,0.15625,0.00261,
2016-07-14 18:03,306, cnn_net_2_2_2_2,16640,13.999565,0.08594,0.00267,
2016-07-14 18:03,325, cnn_net_2_2_2_2,17920,8.878014,0.09375,0.00251,
2016-07-14 18:03,345, cnn_net_2_2_2_2,19200,12.913872,0.17188,0.00252,
2016-07-14 18:03,368, cnn_net_2_2_2_2,20480,11.705363,0.125,0.00262,
2016-07-14 18:03,386, cnn_net_2_2_2_2,21760,9.057499,0.10938,0.00261,
2016-07-14 18:03,404, cnn_net_2_2_2_2,23040,7.848577,0.14844,0.00265,
2016-07-14 18:03,422, cnn_net_2_2_2_2,24320,3.943048,0.11719,0.00234,
2016-07-14 18:03,440, cnn_net_2_2_2_2,25600,5.320102,0.10156,0.00253,
2016-07-14 18:03,458, cnn_net_2_2_2_2,26880,8.887129,0.08594,0.00253,
2016-07-14 18:03,476, cnn_net_2_2_2_2,28160,5.145441,0.10938,0.00248,
2016-07-14 18:03,494, cnn_net_2_2_2_2,29440,6.692393,0.10156,0.00239,
2016-07-14 18:03,512, cnn_net_2_2_2_2,30720,4.12529,0.08594,0.00247,
2016-07-14 18:03,529, cnn_net_2_2_2_2,32000,5.685544,0.10156,0.0024,
2016-07-14 18:03,547, cnn_net_2_2_2_2,33280,3.857301,0.14844,0.00244,
2016-07-14 18:03,565, cnn_net_2_2_2_2,34560,4.680786,0.14062,0.00239,
2016-07-14 18:03,583, cnn_net_2_2_2_2,35840,3.31905,0.10156,0.00254,
2016-07-14 18:03,600, cnn_net_2_2_2_2,37120,3.7363,0.0625,0.00241,
2016-07-14 18:03,618, cnn_net_2_2_2_2,38400,2.870787,0.14062,0.00244,
2016-07-14 18:03,636, cnn_net_2_2_2_2,39680,3.570893,0.08594,0.00242,
2016-07-14 18:03,654, cnn_net_2_2_2_2,40960,4.403696,0.07812,0.00243,
2016-07-14 18:03,671, cnn_net_2_2_2_2,42240,3.95534,0.07031,0.0024,
2016-07-14 18:03,689, cnn_net_2_2_2_2,43520,3.645476,0.125,0.00233,
2016-07-14 18:03,707, cnn_net_2_2_2_2,44800,2.553505,0.10938,0.0024,
2016-07-14 18:03,725, cnn_net_2_2_2_2,46080,2.805203,0.10938,0.00239,
2016-07-14 18:03,743, cnn_net_2_2_2_2,47360,3.819387,0.125,0.00248,
2016-07-14 18:03,761, cnn_net_2_2_2_2,48640,5.634201,0.125,0.00242,
2016-07-14 18:03,778, cnn_net_2_2_2_2,49920,3.063396,0.13281,0.00232,
2016-07-14 18:03,796, cnn_net_2_2_2_2,51200,2.56837,0.13281,0.00244,
2016-07-14 18:03,813, cnn_net_2_2_2_2,52480,3.068001,0.09375,0.00245,
2016-07-14 18:03,831, cnn_net_2_2_2_2,53760,3.156599,0.07812,0.00235,
2016-07-14 18:03,135, cnn_net_2_2_2_2,55040,3.396593,0.10938,0.289,
2016-07-14 18:03,153, cnn_net_2_2_2_2,56320,2.964634,0.10938,0.00241,
2016-07-14 18:03,171, cnn_net_2_2_2_2,57600,2.771144,0.07031,0.00254,
2016-07-14 18:03,189, cnn_net_2_2_2_2,58880,3.468929,0.10938,0.00243,
2016-07-14 18:03,207, cnn_net_2_2_2_2,60160,3.192053,0.07812,0.00241,
2016-07-14 18:03,224, cnn_net_2_2_2_2,61440,2.856966,0.08594,0.00249,
2016-07-14 18:03,242, cnn_net_2_2_2_2,62720,3.054843,0.11719,0.00237,
2016-07-14 18:03,260, cnn_net_2_2_2_2,64000,2.813325,0.09375,0.00252,
2016-07-14 18:03,278, cnn_net_2_2_2_2,65280,3.060758,0.10938,0.00245,
2016-07-14 18:03,297, cnn_net_2_2_2_2,66560,3.564325,0.03125,0.00239,
