2016-07-28 03:16:32,586,Tag Name,Iteration,Testing Accuracy(256),Testing Accuracy(512),Testing Accuracy(2048),Elapsed Time,L1,L2,L3
2016-07-28 03:16:37,195,cnn_mnist_test_acc_2_2_4,1280,0.046875,0.05664,0.07520,0.342,2,2,4
2016-07-28 03:16:37,237,cnn_mnist_test_acc_2_2_4,2560,0.054688,0.06250,0.07666,0.0423,2,2,4
2016-07-28 03:16:37,278,cnn_mnist_test_acc_2_2_4,3840,0.058594,0.06641,0.07910,0.0404,2,2,4
2016-07-28 03:16:37,320,cnn_mnist_test_acc_2_2_4,5120,0.058594,0.06836,0.08301,0.0423,2,2,4
2016-07-28 03:16:37,323,cnn_mnist_test_acc_2_2_16,1280,0.046875,0.04492,0.06396,0.35,2,2,16
2016-07-28 03:16:37,359,cnn_mnist_test_acc_2_2_4,6400,0.058594,0.06641,0.08350,0.0384,2,2,4
2016-07-28 03:16:37,359,cnn_mnist_test_acc_2_2_8,1280,0.117188,0.11328,0.11572,0.346,2,2,8
2016-07-28 03:16:37,369,cnn_mnist_test_acc_2_2_16,2560,0.046875,0.04688,0.06543,0.0457,2,2,16
2016-07-28 03:16:37,371,cnn_mnist_test_acc_2_2_2,1280,0.062500,0.08594,0.09717,0.368,2,2,2
2016-07-28 03:16:37,398,cnn_mnist_test_acc_2_2_4,7680,0.062500,0.07227,0.09131,0.0385,2,2,4
2016-07-28 03:16:37,404,cnn_mnist_test_acc_2_2_8,2560,0.117188,0.11719,0.11963,0.0444,2,2,8
2016-07-28 03:16:37,413,cnn_mnist_test_acc_2_2_16,3840,0.046875,0.05078,0.07031,0.044,2,2,16
2016-07-28 03:16:37,415,cnn_mnist_test_acc_2_2_2,2560,0.062500,0.08789,0.10010,0.0442,2,2,2
2016-07-28 03:16:37,437,cnn_mnist_test_acc_2_2_4,8960,0.062500,0.07422,0.09375,0.0388,2,2,4
2016-07-28 03:16:37,449,cnn_mnist_test_acc_2_2_8,3840,0.125000,0.12695,0.12500,0.0452,2,2,8
2016-07-28 03:16:37,458,cnn_mnist_test_acc_2_2_16,5120,0.046875,0.04883,0.07324,0.0445,2,2,16
2016-07-28 03:16:37,458,cnn_mnist_test_acc_2_2_2,3840,0.070312,0.08789,0.10400,0.0426,2,2,2
2016-07-28 03:16:37,478,cnn_mnist_test_acc_2_2_4,10240,0.062500,0.07617,0.09473,0.041,2,2,4
2016-07-28 03:16:37,496,cnn_mnist_test_acc_2_2_8,5120,0.121094,0.12500,0.12500,0.0465,2,2,8
2016-07-28 03:16:37,498,cnn_mnist_test_acc_2_2_16,6400,0.046875,0.05273,0.07666,0.0405,2,2,16
2016-07-28 03:16:37,501,cnn_mnist_test_acc_2_2_2,5120,0.070312,0.08594,0.10645,0.0432,2,2,2
2016-07-28 03:16:37,519,cnn_mnist_test_acc_2_2_4,11520,0.070312,0.08398,0.10059,0.0411,2,2,4
2016-07-28 03:16:37,541,cnn_mnist_test_acc_2_2_8,6400,0.113281,0.11719,0.12793,0.0445,2,2,8
2016-07-28 03:16:37,542,cnn_mnist_test_acc_2_2_16,7680,0.050781,0.06250,0.07861,0.0434,2,2,16
2016-07-28 03:16:37,546,cnn_mnist_test_acc_2_2_2,6400,0.074219,0.08789,0.10742,0.0443,2,2,2
2016-07-28 03:16:37,557,cnn_mnist_test_acc_2_2_4,12800,0.066406,0.08203,0.09863,0.0374,2,2,4
2016-07-28 03:16:37,583,cnn_mnist_test_acc_2_2_16,8960,0.054688,0.06836,0.08252,0.0411,2,2,16
2016-07-28 03:16:37,584,cnn_mnist_test_acc_2_2_8,7680,0.097656,0.11523,0.12549,0.0436,2,2,8
2016-07-28 03:16:37,588,cnn_mnist_test_acc_2_2_2,7680,0.089844,0.09766,0.11377,0.0425,2,2,2
2016-07-28 03:16:37,599,cnn_mnist_test_acc_2_2_4,14080,0.074219,0.08789,0.09814,0.0413,2,2,4
2016-07-28 03:16:37,624,cnn_mnist_test_acc_2_2_16,10240,0.050781,0.06836,0.08447,0.0409,2,2,16
2016-07-28 03:16:37,627,cnn_mnist_test_acc_2_2_8,8960,0.140625,0.13867,0.13477,0.0429,2,2,8
2016-07-28 03:16:37,629,cnn_mnist_test_acc_2_2_2,8960,0.085938,0.09961,0.11816,0.0403,2,2,2
2016-07-28 03:16:37,638,cnn_mnist_test_acc_2_2_4,15360,0.078125,0.08594,0.10010,0.0389,2,2,4
2016-07-28 03:16:37,667,cnn_mnist_test_acc_2_2_16,11520,0.054688,0.07227,0.08691,0.0419,2,2,16
2016-07-28 03:16:37,668,cnn_mnist_test_acc_2_2_2,10240,0.089844,0.10938,0.11768,0.0393,2,2,2
2016-07-28 03:16:37,669,cnn_mnist_test_acc_2_2_8,10240,0.156250,0.14648,0.13965,0.0416,2,2,8
2016-07-28 03:16:37,676,cnn_mnist_test_acc_2_2_4,16640,0.082031,0.08789,0.10303,0.0383,2,2,4
2016-07-28 03:16:37,707,cnn_mnist_test_acc_2_2_16,12800,0.058594,0.08008,0.09131,0.0406,2,2,16
2016-07-28 03:16:37,711,cnn_mnist_test_acc_2_2_2,11520,0.085938,0.11328,0.11719,0.042,2,2,2
2016-07-28 03:16:37,712,cnn_mnist_test_acc_2_2_8,11520,0.164062,0.14844,0.14014,0.0428,2,2,8
2016-07-28 03:16:37,715,cnn_mnist_test_acc_2_2_4,17920,0.082031,0.08594,0.10303,0.0386,2,2,4
2016-07-28 03:16:37,749,cnn_mnist_test_acc_2_2_16,14080,0.058594,0.07812,0.09375,0.0417,2,2,16
2016-07-28 03:16:37,753,cnn_mnist_test_acc_2_2_2,12800,0.085938,0.11328,0.11621,0.0424,2,2,2
2016-07-28 03:16:37,753,cnn_mnist_test_acc_2_2_8,12800,0.156250,0.14844,0.14355,0.0408,2,2,8
2016-07-28 03:16:37,754,cnn_mnist_test_acc_2_2_4,19200,0.085938,0.08984,0.10449,0.0392,2,2,4
2016-07-28 03:16:37,793,cnn_mnist_test_acc_2_2_16,15360,0.058594,0.08008,0.09375,0.0431,2,2,16
2016-07-28 03:16:37,793,cnn_mnist_test_acc_2_2_2,14080,0.078125,0.10547,0.11230,0.0398,2,2,2
2016-07-28 03:16:37,794,cnn_mnist_test_acc_2_2_4,20480,0.085938,0.08984,0.10986,0.0396,2,2,4
2016-07-28 03:16:37,798,cnn_mnist_test_acc_2_2_8,14080,0.136719,0.14062,0.14307,0.045,2,2,8
2016-07-28 03:16:37,831,cnn_mnist_test_acc_2_2_4,21760,0.089844,0.09375,0.11084,0.0368,2,2,4
2016-07-28 03:16:37,832,cnn_mnist_test_acc_2_2_2,15360,0.082031,0.10938,0.11084,0.0383,2,2,2
2016-07-28 03:16:37,832,cnn_mnist_test_acc_2_2_16,16640,0.062500,0.08203,0.09229,0.0393,2,2,16
2016-07-28 03:16:37,838,cnn_mnist_test_acc_2_2_8,15360,0.125000,0.13281,0.14111,0.0398,2,2,8
2016-07-28 03:16:37,868,cnn_mnist_test_acc_2_2_2,16640,0.078125,0.10938,0.11035,0.0365,2,2,2
2016-07-28 03:16:37,868,cnn_mnist_test_acc_2_2_4,23040,0.093750,0.09570,0.11133,0.0371,2,2,4
2016-07-28 03:16:37,871,cnn_mnist_test_acc_2_2_16,17920,0.058594,0.08203,0.09814,0.039,2,2,16
2016-07-28 03:16:37,877,cnn_mnist_test_acc_2_2_8,16640,0.125000,0.13477,0.14062,0.0389,2,2,8
2016-07-28 03:16:37,903,cnn_mnist_test_acc_2_2_4,24320,0.093750,0.09570,0.11279,0.0346,2,2,4
2016-07-28 03:16:37,905,cnn_mnist_test_acc_2_2_2,17920,0.082031,0.10938,0.10889,0.037,2,2,2
2016-07-28 03:16:37,910,cnn_mnist_test_acc_2_2_16,19200,0.058594,0.08984,0.09619,0.0386,2,2,16
2016-07-28 03:16:37,915,cnn_mnist_test_acc_2_2_8,17920,0.125000,0.13477,0.14404,0.0373,2,2,8
2016-07-28 03:16:37,938,cnn_mnist_test_acc_2_2_4,25600,0.089844,0.09570,0.11133,0.0344,2,2,4
2016-07-28 03:16:37,941,cnn_mnist_test_acc_2_2_2,19200,0.085938,0.10352,0.10840,0.0357,2,2,2
2016-07-28 03:16:37,950,cnn_mnist_test_acc_2_2_16,20480,0.062500,0.08789,0.09619,0.0394,2,2,16
2016-07-28 03:16:37,953,cnn_mnist_test_acc_2_2_8,19200,0.121094,0.12695,0.14062,0.0375,2,2,8
2016-07-28 03:16:37,975,cnn_mnist_test_acc_2_2_4,26880,0.089844,0.09570,0.11328,0.0367,2,2,4
2016-07-28 03:16:37,977,cnn_mnist_test_acc_2_2_2,20480,0.085938,0.10352,0.10645,0.0352,2,2,2
2016-07-28 03:16:37,988,cnn_mnist_test_acc_2_2_16,21760,0.066406,0.08594,0.09521,0.0383,2,2,16
2016-07-28 03:16:37,990,cnn_mnist_test_acc_2_2_8,20480,0.097656,0.11328,0.13477,0.0375,2,2,8
2016-07-28 03:16:38,010,cnn_mnist_test_acc_2_2_4,28160,0.093750,0.09766,0.11230,0.0348,2,2,4
2016-07-28 03:16:38,014,cnn_mnist_test_acc_2_2_2,21760,0.085938,0.10352,0.10645,0.0368,2,2,2
2016-07-28 03:16:38,026,cnn_mnist_test_acc_2_2_16,23040,0.078125,0.09375,0.09912,0.0376,2,2,16
2016-07-28 03:16:38,028,cnn_mnist_test_acc_2_2_8,21760,0.074219,0.09766,0.12988,0.0382,2,2,8
2016-07-28 03:16:38,044,cnn_mnist_test_acc_2_2_4,29440,0.097656,0.09961,0.11426,0.0344,2,2,4
2016-07-28 03:16:38,050,cnn_mnist_test_acc_2_2_2,23040,0.085938,0.10547,0.10742,0.0365,2,2,2
2016-07-28 03:16:38,068,cnn_mnist_test_acc_2_2_16,24320,0.074219,0.09375,0.09912,0.0414,2,2,16
2016-07-28 03:16:38,071,cnn_mnist_test_acc_2_2_8,23040,0.082031,0.10156,0.12646,0.0423,2,2,8
2016-07-28 03:16:38,079,cnn_mnist_test_acc_2_2_4,30720,0.093750,0.09766,0.11426,0.0351,2,2,4
2016-07-28 03:16:38,087,cnn_mnist_test_acc_2_2_2,24320,0.085938,0.10547,0.10693,0.0368,2,2,2
2016-07-28 03:16:38,109,cnn_mnist_test_acc_2_2_8,24320,0.097656,0.11133,0.12842,0.0376,2,2,8
2016-07-28 03:16:38,111,cnn_mnist_test_acc_2_2_16,25600,0.070312,0.08984,0.09619,0.0432,2,2,16
