2016-08-22 16:03:28,842,Tag Name,Step,Accuarcy1,Accuarcy2,Accuarcy3,Elapsed Time,L1,L2,L3
2016-08-22 16:03:31,586,4_2_2_512,0,12.500,8.680,8.920,1.54,2,2,512
2016-08-22 16:03:32,131,4_2_2_512,100,12.500,11.260,11.350,0.228,2,2,512
2016-08-22 16:03:32,655,4_2_2_512,200,12.500,11.260,11.350,0.235,2,2,512
2016-08-22 16:03:33,206,4_2_2_512,300,7.812,11.260,11.350,0.238,2,2,512
2016-08-22 16:03:33,780,4_2_2_512,400,15.625,11.260,11.350,0.26,2,2,512
2016-08-22 16:03:34,348,4_2_2_512,500,9.375,11.260,11.350,0.246,2,2,512
2016-08-22 16:03:34,885,4_2_2_512,600,12.500,11.260,11.350,0.228,2,2,512
2016-08-22 16:03:35,432,4_2_2_512,700,4.688,9.760,10.320,0.227,2,2,512
2016-08-22 16:03:35,971,4_2_2_512,800,4.688,9.860,10.100,0.255,2,2,512
2016-08-22 16:03:36,510,4_2_2_512,900,7.812,11.260,11.350,0.229,2,2,512
2016-08-22 16:03:36,997,4_2_2_512,1000,7.812,9.860,10.100,0.204,2,2,512
2016-08-22 16:03:37,489,4_2_2_512,1100,6.250,11.260,11.350,0.233,2,2,512
2016-08-22 16:03:38,017,4_2_2_512,1200,6.250,11.260,11.350,0.226,2,2,512
2016-08-22 16:03:38,580,4_2_2_512,1300,10.938,11.260,11.350,0.258,2,2,512
2016-08-22 16:03:39,113,4_2_2_512,1400,10.938,11.260,11.350,0.244,2,2,512
2016-08-22 16:03:39,689,4_2_2_512,1500,6.250,11.000,10.280,0.255,2,2,512
2016-08-22 16:03:40,231,4_2_2_512,1600,3.125,11.000,10.280,0.242,2,2,512
2016-08-22 16:03:40,758,4_2_2_512,1700,9.375,11.000,10.280,0.241,2,2,512
2016-08-22 16:03:41,264,4_2_2_512,1800,10.938,11.260,11.350,0.228,2,2,512
2016-08-22 16:03:41,789,4_2_2_512,1900,6.250,11.260,11.350,0.234,2,2,512
2016-08-22 16:03:42,309,4_2_2_512,2000,6.250,11.260,11.350,0.229,2,2,512
2016-08-22 16:03:42,847,4_2_2_512,2100,17.188,11.260,11.350,0.238,2,2,512
2016-08-22 16:03:43,374,4_2_2_512,2200,4.688,11.260,11.350,0.231,2,2,512
2016-08-22 16:03:43,900,4_2_2_512,2300,6.250,11.260,11.350,0.235,2,2,512
2016-08-22 16:03:44,408,4_2_2_512,2400,7.812,11.260,11.350,0.228,2,2,512
2016-08-22 16:03:44,938,4_2_2_512,2500,9.375,9.860,10.100,0.231,2,2,512
2016-08-22 16:03:45,466,4_2_2_512,2600,6.250,9.860,10.100,0.237,2,2,512
2016-08-22 16:03:45,996,4_2_2_512,2700,7.812,11.260,11.350,0.241,2,2,512
2016-08-22 16:03:46,524,4_2_2_512,2800,12.500,11.260,11.350,0.237,2,2,512
2016-08-22 16:03:47,048,4_2_2_512,2900,15.625,11.260,11.350,0.233,2,2,512
2016-08-22 16:03:47,575,4_2_2_512,3000,7.812,11.260,11.350,0.245,2,2,512
2016-08-22 16:03:48,128,4_2_2_512,3100,4.688,11.260,11.350,0.246,2,2,512
2016-08-22 16:03:48,691,4_2_2_512,3200,12.500,11.260,11.350,0.247,2,2,512
2016-08-22 16:03:49,257,4_2_2_512,3300,10.938,11.260,11.350,0.269,2,2,512
2016-08-22 16:03:49,808,4_2_2_512,3400,14.062,11.000,10.280,0.235,2,2,512
2016-08-22 16:03:50,324,4_2_2_512,3500,15.625,11.260,11.350,0.229,2,2,512
2016-08-22 16:03:50,845,4_2_2_512,3600,9.375,11.260,11.350,0.24,2,2,512
2016-08-22 16:03:51,358,4_2_2_512,3700,10.938,11.260,11.350,0.224,2,2,512
2016-08-22 16:03:51,883,4_2_2_512,3800,9.375,11.260,11.350,0.237,2,2,512
2016-08-22 16:03:52,417,4_2_2_512,3900,7.812,11.260,11.350,0.249,2,2,512
2016-08-22 16:03:52,964,4_2_2_512,4000,6.250,11.260,11.350,0.236,2,2,512
2016-08-22 16:03:53,470,4_2_2_512,4100,10.938,11.260,11.350,0.224,2,2,512
2016-08-22 16:03:54,001,4_2_2_512,4200,12.500,11.260,11.350,0.238,2,2,512
2016-08-22 16:03:54,582,4_2_2_512,4300,14.062,11.000,10.280,0.271,2,2,512
2016-08-22 16:03:55,120,4_2_2_512,4400,7.812,11.260,11.350,0.242,2,2,512
2016-08-22 16:03:55,683,4_2_2_512,4500,9.375,11.260,11.350,0.236,2,2,512
2016-08-22 16:03:56,197,4_2_2_512,4600,10.938,11.260,11.350,0.232,2,2,512
2016-08-22 16:03:56,752,4_2_2_512,4700,14.062,11.260,11.350,0.246,2,2,512
2016-08-22 16:03:57,297,4_2_2_512,4800,7.812,11.260,11.350,0.249,2,2,512
2016-08-22 16:03:57,844,4_2_2_512,4900,10.938,11.260,11.350,0.237,2,2,512
2016-08-22 16:03:58,411,4_2_2_512,5000,14.062,11.260,11.350,0.259,2,2,512
2016-08-22 16:03:58,967,4_2_2_512,5100,7.812,11.000,10.280,0.248,2,2,512
2016-08-22 16:03:59,517,4_2_2_512,5200,15.625,11.260,11.350,0.254,2,2,512
2016-08-22 16:04:00,052,4_2_2_512,5300,9.375,11.260,11.350,0.223,2,2,512
2016-08-22 16:04:00,599,4_2_2_512,5400,10.938,11.260,11.350,0.25,2,2,512
2016-08-22 16:04:01,125,4_2_2_512,5500,7.812,11.260,11.350,0.227,2,2,512
2016-08-22 16:04:01,663,4_2_2_512,5600,7.812,11.260,11.350,0.26,2,2,512
2016-08-22 16:04:02,242,4_2_2_512,5700,10.938,11.260,11.350,0.237,2,2,512
2016-08-22 16:04:02,776,4_2_2_512,5800,4.688,11.260,11.350,0.244,2,2,512
2016-08-22 16:04:03,306,4_2_2_512,5900,12.500,11.260,11.350,0.223,2,2,512
2016-08-22 16:04:03,827,4_2_2_512,6000,14.062,11.000,10.280,0.243,2,2,512
2016-08-22 16:04:04,335,4_2_2_512,6100,14.062,11.260,11.350,0.228,2,2,512
2016-08-22 16:04:04,852,4_2_2_512,6200,10.938,11.260,11.350,0.222,2,2,512
2016-08-22 16:04:05,386,4_2_2_512,6300,7.812,11.260,11.350,0.251,2,2,512
2016-08-22 16:04:05,939,4_2_2_512,6400,9.375,11.260,11.350,0.25,2,2,512
2016-08-22 16:04:06,474,4_2_2_512,6500,12.500,11.260,11.350,0.244,2,2,512
