Date,msec,Setting,Step,Elapsed Time,Metric1,Metric2,Metric3,Param1,Param2,Param3,Param4
2016-09-03 3:59,855,filter:2-conv1:1-conv2:1-fc:1-Momentum,1_epoch,0.136,18.72,NA,NA,2,1,1,1
2016-09-03 3:59,865,filter:2-conv1:1-conv2:1-fc:4-Momentum,1_epoch,0.133,10.28,NA,NA,2,1,1,4
2016-09-03 3:59,40,filter:2-conv1:1-conv2:1-fc:2-Momentum,1_epoch,0.213,10.28,NA,NA,2,1,1,2
2016-09-03 3:59,50,filter:2-conv1:1-conv2:1-fc:8-Momentum,1_epoch,0.227,65.94,NA,NA,2,1,1,8
2016-09-03 3:59,298,filter:2-conv1:1-conv2:1-fc:128-Momentum,1_epoch,0.147,10.28,NA,NA,2,1,1,128
2016-09-03 3:59,397,filter:2-conv1:1-conv2:1-fc:64-Momentum,1_epoch,0.175,86.43,NA,NA,2,1,1,64
2016-09-03 3:59,515,filter:2-conv1:1-conv2:1-fc:16-Momentum,1_epoch,0.236,79.32,NA,NA,2,1,1,16
2016-09-03 3:59,603,filter:2-conv1:1-conv2:1-fc:32-Momentum,1_epoch,0.294,85.47,NA,NA,2,1,1,32
2016-09-03 3:59,961,filter:2-conv1:1-conv2:1-fc:256-Momentum,1_epoch,0.138,86.42,NA,NA,2,1,1,256
2016-09-03 3:59,963,filter:2-conv1:1-conv2:1-fc:512-Momentum,1_epoch,0.145,10.28,NA,NA,2,1,1,512
2016-09-03 3:59,991,filter:2-conv1:1-conv2:2-fc:1-Momentum,1_epoch,0.126,10.27,NA,NA,2,1,2,1
2016-09-03 3:59,343,filter:2-conv1:1-conv2:2-fc:2-Momentum,1_epoch,0.403,10.28,NA,NA,2,1,2,2
2016-09-03 3:59,213,filter:2-conv1:1-conv2:2-fc:8-Momentum,1_epoch,0.138,10.28,NA,NA,2,1,2,8
2016-09-03 3:59,492,filter:2-conv1:1-conv2:2-fc:4-Momentum,1_epoch,0.218,10.28,NA,NA,2,1,2,4
2016-09-03 3:59,616,filter:2-conv1:1-conv2:2-fc:32-Momentum,1_epoch,0.191,84.56,NA,NA,2,1,2,32
2016-09-03 3:59,720,filter:2-conv1:1-conv2:2-fc:16-Momentum,1_epoch,0.246,10.28,NA,NA,2,1,2,16
2016-09-03 3:59,777,filter:2-conv1:1-conv2:2-fc:64-Momentum,1_epoch,0.137,86.61,NA,NA,2,1,2,64
2016-09-03 3:59,984,filter:2-conv1:1-conv2:2-fc:256-Momentum,1_epoch,0.243,90.61,NA,NA,2,1,2,256
2016-09-03 3:59,211,filter:2-conv1:1-conv2:2-fc:128-Momentum,1_epoch,0.26,87.47,NA,NA,2,1,2,128
2016-09-03 3:59,467,filter:2-conv1:1-conv2:2-fc:512-Momentum,1_epoch,0.46,10.28,NA,NA,2,1,2,512
2016-09-03 3:59,357,filter:2-conv1:1-conv2:4-fc:1-Momentum,1_epoch,0.138,10.28,NA,NA,2,1,4,1
2016-09-03 3:59,668,filter:2-conv1:1-conv2:4-fc:2-Momentum,1_epoch,0.132,10.28,NA,NA,2,1,4,2
2016-09-03 3:59,686,filter:2-conv1:1-conv2:4-fc:4-Momentum,1_epoch,0.129,30.13,NA,NA,2,1,4,4
2016-09-03 3:59,126,filter:2-conv1:1-conv2:4-fc:8-Momentum,1_epoch,0.508,72.1,NA,NA,2,1,4,8
2016-09-03 3:59,286,filter:2-conv1:1-conv2:4-fc:64-Momentum,1_epoch,0.137,87.87,NA,NA,2,1,4,64
