,Date,msec,Setting,Step,Elapsed Time,Metric1,Metric2,Metric3,Param1,Param2,Param3,Param4,Total Time,Best
0,2016-09-03 3:59,855,filter:2-conv1:1-conv2:1-fc:1-Momentum,1_epoch,0.136,18.72,,,2,1,1,1,0.136,18.72
1,2016-09-03 3:59,865,filter:2-conv1:1-conv2:1-fc:4-Momentum,1_epoch,0.133,10.28,,,2,1,1,4,0.269,18.72
2,2016-09-03 3:59,40,filter:2-conv1:1-conv2:1-fc:2-Momentum,1_epoch,0.213,10.28,,,2,1,1,2,0.482,18.72
3,2016-09-03 3:59,50,filter:2-conv1:1-conv2:1-fc:8-Momentum,1_epoch,0.227,65.94,,,2,1,1,8,0.709,65.94
4,2016-09-03 3:59,298,filter:2-conv1:1-conv2:1-fc:128-Momentum,1_epoch,0.147,10.28,,,2,1,1,128,0.856,65.94
5,2016-09-03 3:59,397,filter:2-conv1:1-conv2:1-fc:64-Momentum,1_epoch,0.175,86.43,,,2,1,1,64,1.031,86.43
6,2016-09-03 3:59,515,filter:2-conv1:1-conv2:1-fc:16-Momentum,1_epoch,0.236,79.32,,,2,1,1,16,1.267,86.43
7,2016-09-03 3:59,603,filter:2-conv1:1-conv2:1-fc:32-Momentum,1_epoch,0.294,85.47,,,2,1,1,32,1.561,86.43
8,2016-09-03 3:59,961,filter:2-conv1:1-conv2:1-fc:256-Momentum,1_epoch,0.138,86.42,,,2,1,1,256,1.699,86.43
9,2016-09-03 3:59,963,filter:2-conv1:1-conv2:1-fc:512-Momentum,1_epoch,0.145,10.28,,,2,1,1,512,1.844,86.43
10,2016-09-03 3:59,991,filter:2-conv1:1-conv2:2-fc:1-Momentum,1_epoch,0.126,10.27,,,2,1,2,1,1.97,86.43
11,2016-09-03 3:59,343,filter:2-conv1:1-conv2:2-fc:2-Momentum,1_epoch,0.403,10.28,,,2,1,2,2,2.373,86.43
12,2016-09-03 3:59,213,filter:2-conv1:1-conv2:2-fc:8-Momentum,1_epoch,0.138,10.28,,,2,1,2,8,2.511,86.43
13,2016-09-03 3:59,492,filter:2-conv1:1-conv2:2-fc:4-Momentum,1_epoch,0.218,10.28,,,2,1,2,4,2.729,86.43
14,2016-09-03 3:59,616,filter:2-conv1:1-conv2:2-fc:32-Momentum,1_epoch,0.191,84.56,,,2,1,2,32,2.92,86.43
15,2016-09-03 3:59,720,filter:2-conv1:1-conv2:2-fc:16-Momentum,1_epoch,0.246,10.28,,,2,1,2,16,3.166,86.43
16,2016-09-03 3:59,777,filter:2-conv1:1-conv2:2-fc:64-Momentum,1_epoch,0.137,86.61,,,2,1,2,64,3.303,86.61
17,2016-09-03 3:59,984,filter:2-conv1:1-conv2:2-fc:256-Momentum,1_epoch,0.243,90.61,,,2,1,2,256,3.546,90.61
18,2016-09-03 3:59,211,filter:2-conv1:1-conv2:2-fc:128-Momentum,1_epoch,0.26,87.47,,,2,1,2,128,3.806,90.61
19,2016-09-03 3:59,467,filter:2-conv1:1-conv2:2-fc:512-Momentum,1_epoch,0.46,10.28,,,2,1,2,512,4.266,90.61
20,2016-09-03 3:59,357,filter:2-conv1:1-conv2:4-fc:1-Momentum,1_epoch,0.138,10.28,,,2,1,4,1,4.404,90.61
21,2016-09-03 3:59,668,filter:2-conv1:1-conv2:4-fc:2-Momentum,1_epoch,0.132,10.28,,,2,1,4,2,4.536,90.61
