,Date,msec,Setting,Step,Elapsed Time,Metric1,Metric2,Metric3,Param1,Param2,Param3,Param4,Best,Random Best 1,Random Best 2,Random Best 0,Random Best 3,Random Best 4,Random Best 5,Random Best 6,Random Best 7,Random Best 8,Random Best 9
0,2016-09-03 3:59,855,filter:2-conv1:1-conv2:1-fc:1-Momentum,1_epoch,0.136,18.72,,,2,1,1,1,18.72,10.28,72.38,10.28,47.27,10.28,42.45,96.88,94.3,97.64,92.97
1,2016-09-03 3:59,865,filter:2-conv1:1-conv2:1-fc:4-Momentum,1_epoch,0.133,10.28,,,2,1,1,4,18.72,10.28,72.38,28.22,95.07,10.28,96.38,96.88,94.3,97.64,92.97
2,2016-09-03 3:59,40,filter:2-conv1:1-conv2:1-fc:2-Momentum,1_epoch,0.213,10.28,,,2,1,1,2,18.72,19.42,72.38,93.28,95.07,10.28,96.38,96.88,94.3,97.64,94.96
3,2016-09-03 3:59,50,filter:2-conv1:1-conv2:1-fc:8-Momentum,1_epoch,0.227,65.94,,,2,1,1,8,65.94,19.42,72.38,93.28,95.07,95.52,96.38,97.68,94.3,97.64,94.96
4,2016-09-03 3:59,298,filter:2-conv1:1-conv2:1-fc:128-Momentum,1_epoch,0.147,10.28,,,2,1,1,128,65.94,19.42,94.7,97.3,95.07,95.52,96.38,97.68,94.3,97.64,94.96
5,2016-09-03 3:59,397,filter:2-conv1:1-conv2:1-fc:64-Momentum,1_epoch,0.175,86.43,,,2,1,1,64,86.43,90.86,95.23,97.3,95.07,95.52,96.38,97.68,95.41,97.64,94.96
6,2016-09-03 3:59,515,filter:2-conv1:1-conv2:1-fc:16-Momentum,1_epoch,0.236,79.32,,,2,1,1,16,86.43,90.86,96.09,97.3,95.07,95.52,97.7,97.68,95.41,97.64,94.96
7,2016-09-03 3:59,603,filter:2-conv1:1-conv2:1-fc:32-Momentum,1_epoch,0.294,85.47,,,2,1,1,32,86.43,90.86,96.09,97.3,97.49,95.52,97.7,97.68,96.14,97.64,94.96
8,2016-09-03 3:59,961,filter:2-conv1:1-conv2:1-fc:256-Momentum,1_epoch,0.138,86.42,,,2,1,1,256,86.43,90.86,96.42,97.3,97.64,97.3,97.7,97.68,97.91,97.64,95.5
9,2016-09-03 3:59,963,filter:2-conv1:1-conv2:1-fc:512-Momentum,1_epoch,0.145,10.28,,,2,1,1,512,86.43,90.86,96.42,97.3,97.64,97.3,97.7,97.68,97.91,97.64,97.08
10,2016-09-03 3:59,991,filter:2-conv1:1-conv2:2-fc:1-Momentum,1_epoch,0.126,10.27,,,2,1,2,1,86.43,94.98,97.67,97.3,97.64,97.3,97.7,97.68,97.91,97.64,97.08
11,2016-09-03 3:59,343,filter:2-conv1:1-conv2:2-fc:2-Momentum,1_epoch,0.403,10.28,,,2,1,2,2,86.43,97.33,97.67,97.3,97.64,97.3,97.7,97.68,97.91,97.64,97.08
12,2016-09-03 3:59,213,filter:2-conv1:1-conv2:2-fc:8-Momentum,1_epoch,0.138,10.28,,,2,1,2,8,86.43,97.33,97.67,97.3,97.64,97.52,97.7,97.68,97.91,97.64,97.08
13,2016-09-03 3:59,492,filter:2-conv1:1-conv2:2-fc:4-Momentum,1_epoch,0.218,10.28,,,2,1,2,4,86.43,97.33,97.67,97.3,97.64,97.52,97.7,97.68,97.91,97.64,97.08
14,2016-09-03 3:59,616,filter:2-conv1:1-conv2:2-fc:32-Momentum,1_epoch,0.191,84.56,,,2,1,2,32,86.43,97.33,97.67,97.3,97.64,97.52,97.7,97.68,97.91,97.64,97.08
