,Setting,Step,Param1,Param2,Param3,Param4,Elapsed Time,Metric1,Total Time,Best
0,filter:6-conv1:128-conv2:4-fc:2-Momentum,1_epoch,6,128,4,2,0.493,38.56,0.493,38.56
1,filter:6-conv1:32-conv2:64-fc:2-Momentum,1_epoch,6,32,64,2,0.424,10.28,0.917,38.56
2,filter:12-conv1:8-conv2:8-fc:64-Momentum,1_epoch,12,8,8,64,0.345,96.89,1.262,96.89
3,filter:4-conv1:4-conv2:1-fc:128-Momentum,1_epoch,4,4,1,128,0.14,92.77,1.402,96.89
4,filter:12-conv1:1-conv2:64-fc:128-Momentum,1_epoch,12,1,64,128,0.384,93.98,1.786,96.89
5,filter:6-conv1:8-conv2:4-fc:32-Momentum,1_epoch,6,8,4,32,0.276,95.76,2.062,96.89
6,filter:6-conv1:16-conv2:2-fc:64-Momentum,1_epoch,6,16,2,64,0.442,95.92,2.504,96.89
7,filter:2-conv1:32-conv2:2-fc:4-Momentum,1_epoch,2,32,2,4,0.365,66.13,2.869,96.89
8,filter:6-conv1:64-conv2:1-fc:16-Momentum,1_epoch,6,64,1,16,0.412,92.68,3.281,96.89
9,filter:8-conv1:512-conv2:32-fc:128-Momentum,1_epoch,8,512,32,128,1.71,96.28,4.991,96.89
10,filter:14-conv1:1-conv2:4-fc:2-Momentum,1_epoch,14,1,4,2,0.164,43.19,5.155,96.89
11,filter:14-conv1:512-conv2:512-fc:8-Momentum,1_epoch,14,512,512,8,11.0,10.28,16.155,96.89
12,filter:8-conv1:16-conv2:2-fc:2-Momentum,1_epoch,8,16,2,2,0.289,47.93,16.444,96.89
13,filter:12-conv1:512-conv2:16-fc:32-Momentum,1_epoch,12,512,16,32,1.87,91.03,18.314,96.89
14,filter:8-conv1:256-conv2:8-fc:2-Momentum,1_epoch,8,256,8,2,0.737,10.28,19.051,96.89
15,filter:12-conv1:64-conv2:1-fc:512-Momentum,1_epoch,12,64,1,512,0.419,94.98,19.47,96.89
16,filter:14-conv1:256-conv2:64-fc:2-Momentum,1_epoch,14,256,64,2,1.6,10.28,21.07,96.89
17,filter:12-conv1:2-conv2:256-fc:64-Momentum,1_epoch,12,2,256,64,0.467,93.56,21.537,96.89
18,filter:4-conv1:8-conv2:8-fc:8-Momentum,1_epoch,4,8,8,8,0.299,91.05,21.836,96.89
19,filter:4-conv1:512-conv2:128-fc:2-Momentum,1_epoch,4,512,128,2,2.19,10.28,24.026,96.89
20,filter:14-conv1:4-conv2:256-fc:256-Momentum,1_epoch,14,4,256,256,0.459,92.81,24.485,96.89
21,filter:14-conv1:1-conv2:64-fc:512-Momentum,1_epoch,14,1,64,512,0.372,93.35,24.857,96.89
22,filter:6-conv1:1-conv2:2-fc:32-Momentum,1_epoch,6,1,2,32,0.226,91.72,25.083,96.89
23,filter:8-conv1:8-conv2:256-fc:128-Momentum,1_epoch,8,8,256,128,0.376,96.89,25.459,96.89
24,filter:12-conv1:2-conv2:512-fc:256-Momentum,1_epoch,12,2,512,256,0.622,85.13,26.081,96.89
25,filter:4-conv1:2-conv2:128-fc:16-Momentum,1_epoch,4,2,128,16,0.306,94.3,26.387,96.89
26,filter:2-conv1:128-conv2:64-fc:16-Momentum,1_epoch,2,128,64,16,0.395,93.78,26.782,96.89
27,filter:4-conv1:2-conv2:2-fc:64-Momentum,1_epoch,4,2,2,64,0.306,92.25,27.088,96.89
28,filter:14-conv1:32-conv2:8-fc:2-Momentum,1_epoch,14,32,8,2,0.268,10.28,27.356,96.89
29,filter:4-conv1:256-conv2:256-fc:32-Momentum,1_epoch,4,256,256,32,1.61,94.73,28.966,96.89
30,filter:8-conv1:32-conv2:16-fc:32-Momentum,1_epoch,8,32,16,32,0.336,97.29,29.302,97.29
31,filter:6-conv1:128-conv2:4-fc:32-Momentum,1_epoch,6,128,4,32,0.416,96.58,29.718,97.29
32,filter:2-conv1:128-conv2:4-fc:128-Momentum,1_epoch,2,128,4,128,0.512,91.63,30.23,97.29
33,filter:8-conv1:8-conv2:256-fc:512-Momentum,1_epoch,8,8,256,512,0.538,96.19,30.768,97.29
34,filter:2-conv1:8-conv2:1-fc:2-Momentum,1_epoch,2,8,1,2,0.225,36.59,30.993,97.29
35,filter:8-conv1:128-conv2:512-fc:512-Momentum,1_epoch,8,128,512,512,2.04,10.29,33.033,97.29
36,filter:2-conv1:128-conv2:32-fc:1-Momentum,1_epoch,2,128,32,1,0.37,10.28,33.403,97.29
37,filter:14-conv1:128-conv2:4-fc:1-Momentum,1_epoch,14,128,4,1,0.656,10.28,34.059,97.29
38,filter:14-conv1:64-conv2:64-fc:1-Momentum,1_epoch,14,64,64,1,0.71,10.28,34.769,97.29
39,filter:2-conv1:8-conv2:32-fc:16-Momentum,1_epoch,2,8,32,16,0.262,89.75,35.031,97.29
40,filter:2-conv1:64-conv2:128-fc:8-Momentum,1_epoch,2,64,128,8,0.389,84.36,35.42,97.29
41,filter:4-conv1:1-conv2:256-fc:512-Momentum,1_epoch,4,1,256,512,0.277,10.28,35.697,97.29
42,filter:2-conv1:64-conv2:128-fc:2-Momentum,1_epoch,2,64,128,2,0.378,39.98,36.075,97.29
43,filter:2-conv1:32-conv2:512-fc:1-Momentum,1_epoch,2,32,512,1,0.473,10.28,36.548,97.29
44,filter:4-conv1:256-conv2:2-fc:2-Momentum,1_epoch,4,256,2,2,0.776,44.82,37.324,97.29
45,filter:4-conv1:8-conv2:256-fc:256-Momentum,1_epoch,4,8,256,256,0.289,97.26,37.613,97.29
46,filter:6-conv1:128-conv2:512-fc:128-Momentum,1_epoch,6,128,512,128,1.78,10.28,39.393,97.29
47,filter:14-conv1:2-conv2:2-fc:2-Momentum,1_epoch,14,2,2,2,0.176,42.33,39.569,97.29
48,filter:14-conv1:16-conv2:16-fc:128-Momentum,1_epoch,14,16,16,128,0.266,97.37,39.835,97.37
49,filter:12-conv1:8-conv2:1-fc:256-Momentum,1_epoch,12,8,1,256,0.398,95.32,40.233,97.37
50,filter:14-conv1:512-conv2:256-fc:64-Momentum,1_epoch,14,512,256,64,6.36,10.28,46.593,97.37
51,filter:2-conv1:16-conv2:128-fc:128-Momentum,1_epoch,2,16,128,128,0.236,95.61,46.829,97.37
52,filter:6-conv1:512-conv2:1-fc:4-Momentum,1_epoch,6,512,1,4,1.35,75.59,48.179,97.37
53,filter:8-conv1:1-conv2:128-fc:512-Momentum,1_epoch,8,1,128,512,0.255,95.49,48.434,97.37
54,filter:14-conv1:512-conv2:16-fc:16-Momentum,1_epoch,14,512,16,16,1.97,10.28,50.404,97.37
55,filter:8-conv1:256-conv2:512-fc:16-Momentum,1_epoch,8,256,512,16,3.28,10.28,53.684,97.37
56,filter:14-conv1:64-conv2:16-fc:512-Momentum,1_epoch,14,64,16,512,0.421,10.28,54.105,97.37
57,filter:12-conv1:128-conv2:8-fc:16-Momentum,1_epoch,12,128,8,16,0.534,91.06,54.639,97.37
58,filter:12-conv1:16-conv2:16-fc:64-Momentum,1_epoch,12,16,16,64,0.318,97.08,54.957,97.37
59,filter:6-conv1:64-conv2:4-fc:8-Momentum,1_epoch,6,64,4,8,0.302,93.9,55.259,97.37
60,filter:4-conv1:128-conv2:128-fc:64-Momentum,1_epoch,4,128,128,64,0.613,97.16,55.872,97.37
61,filter:2-conv1:32-conv2:16-fc:64-Momentum,1_epoch,2,32,16,64,0.208,94.33,56.08,97.37
62,filter:6-conv1:2-conv2:16-fc:512-Momentum,1_epoch,6,2,16,512,0.162,97.46,56.242,97.46
63,filter:14-conv1:16-conv2:4-fc:2-Momentum,1_epoch,14,16,4,2,0.204,49.59,56.446,97.46
64,filter:4-conv1:8-conv2:32-fc:256-Momentum,1_epoch,4,8,32,256,0.199,97.74,56.645,97.74
65,filter:8-conv1:128-conv2:128-fc:16-Momentum,1_epoch,8,128,128,16,0.727,10.28,57.372,97.74
66,filter:4-conv1:2-conv2:1-fc:4-Momentum,1_epoch,4,2,1,4,0.142,62.11,57.514,97.74
